State	series_id	year	month	value	month_year
Georgia	LASST130000000000003          	2015	6	6.1	06_2015
Georgia	LASST130000000000003          	2016	6	5.4	06_2016
Georgia	LASST130000000000003          	2017	6	4.8	06_2017
Georgia	LASST130000000000003          	2018	6	3.9	06_2018
Georgia	LASST130000000000003          	2019	6	3.5	06_2019
Georgia	LASST130000000000003          	2020	6	8.4	06_2020
Georgia	LASST130000000000004          	2015	6	288285.0	06_2015
Georgia	LASST130000000000004          	2016	6	264988.0	06_2016
Georgia	LASST130000000000004          	2017	6	243531.0	06_2017
Georgia	LASST130000000000004          	2018	6	201950.0	06_2018
Georgia	LASST130000000000004          	2019	6	182818.0	06_2019
Georgia	LASST130000000000004          	2020	6	418422.0	06_2020
Georgia	LASST130000000000005          	2015	6	4444943.0	06_2015
Georgia	LASST130000000000005          	2016	6	4643573.0	06_2016
Georgia	LASST130000000000005          	2017	6	4868580.0	06_2017
Georgia	LASST130000000000005          	2018	6	4928630.0	06_2018
Georgia	LASST130000000000005          	2019	6	4970634.0	06_2019
Georgia	LASST130000000000005          	2020	6	4584799.0	06_2020
Georgia	LASST130000000000006          	2015	6	4733228.0	06_2015
Georgia	LASST130000000000006          	2016	6	4908561.0	06_2016
Georgia	LASST130000000000006          	2017	6	5112111.0	06_2017
Georgia	LASST130000000000006          	2018	6	5130580.0	06_2018
Georgia	LASST130000000000006          	2019	6	5153452.0	06_2019
Georgia	LASST130000000000006          	2020	6	5003221.0	06_2020
Georgia	LASST130000000000007          	2015	6	57.3	06_2015
Georgia	LASST130000000000007          	2016	6	58.9	06_2016
Georgia	LASST130000000000007          	2017	6	60.9	06_2017
Georgia	LASST130000000000007          	2018	6	60.9	06_2018
Georgia	LASST130000000000007          	2019	6	60.6	06_2019
Georgia	LASST130000000000007          	2020	6	55.2	06_2020
Georgia	LASST130000000000008          	2015	6	61.0	06_2015
Georgia	LASST130000000000008          	2016	6	62.3	06_2016
Georgia	LASST130000000000008          	2017	6	64.0	06_2017
Georgia	LASST130000000000008          	2018	6	63.4	06_2018
Georgia	LASST130000000000008          	2019	6	62.9	06_2019
Georgia	LASST130000000000008          	2020	6	60.2	06_2020
Georgia	LAUCA131220000000003          	2015	6	6.2	06_2015
Georgia	LAUCA131220000000003          	2016	6	5.5	06_2016
Georgia	LAUCA131220000000003          	2017	6	4.9	06_2017
Georgia	LAUCA131220000000003          	2018	6	4.2	06_2018
Georgia	LAUCA131220000000003          	2019	6	3.7	06_2019
Georgia	LAUCA131220000000003          	2020	6	9.2	06_2020
Georgia	LAUCA131220000000004          	2015	6	192719.0	06_2015
Georgia	LAUCA131220000000004          	2016	6	178725.0	06_2016
Georgia	LAUCA131220000000004          	2017	6	165527.0	06_2017
Georgia	LAUCA131220000000004          	2018	6	144129.0	06_2018
Georgia	LAUCA131220000000004          	2019	6	128218.0	06_2019
Georgia	LAUCA131220000000004          	2020	6	307121.0	06_2020
Georgia	LAUCA131220000000005          	2015	6	2935897.0	06_2015
Georgia	LAUCA131220000000005          	2016	6	3079556.0	06_2016
Georgia	LAUCA131220000000005          	2017	6	3234498.0	06_2017
Georgia	LAUCA131220000000005          	2018	6	3287914.0	06_2018
Georgia	LAUCA131220000000005          	2019	6	3325580.0	06_2019
Georgia	LAUCA131220000000005          	2020	6	3044194.0	06_2020
Georgia	LAUCA131220000000006          	2015	6	3128616.0	06_2015
Georgia	LAUCA131220000000006          	2016	6	3258281.0	06_2016
Georgia	LAUCA131220000000006          	2017	6	3400025.0	06_2017
Georgia	LAUCA131220000000006          	2018	6	3432043.0	06_2018
