CIK	Company	Links
0001311981	Adirondack_Funds	/Archives/edgar/data/1574010/000157401022000003/0001574010-22-000003-index.htm	
0001311981	Adirondack_Funds	/Archives/edgar/data/1574010/000157401022000002/0001574010-22-000002-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/1311981/000116204415001166/0001162044-15-001166-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/1311981/000116204413000513/0001162044-13-000513-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597116000610/0001515971-16-000610-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597116000570/0001515971-16-000570-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597116000494/0001515971-16-000494-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597116000435/0001515971-16-000435-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597115000375/0001515971-15-000375-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597115000255/0001515971-15-000255-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597115000139/0001515971-15-000139-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597115000031/0001515971-15-000031-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597114000479/0001515971-14-000479-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597114000334/0001515971-14-000334-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597114000215/0001515971-14-000215-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000151597114000035/0001515971-14-000035-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000134467613000058/0001344676-13-000058-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000134467613000042/0001344676-13-000042-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347013000006/0000813470-13-000006-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347013000001/0000813470-13-000001-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347012000023/0000813470-12-000023-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347012000019/0000813470-12-000019-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347012000014/0000813470-12-000014-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347012000003/0000813470-12-000003-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347009000009/0000813470-09-000009-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347009000005/0000813470-09-000005-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347009000001/0000813470-09-000001-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347008000023/0000813470-08-000023-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347008000016/0000813470-08-000016-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347008000010/0000813470-08-000010-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347008000003/0000813470-08-000003-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347007000024/0000813470-07-000024-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347007000016/0000813470-07-000016-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347007000012/0000813470-07-000012-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347007000001/0000813470-07-000001-index.htm	
0000813470	ADVANCE_CAPITAL_I_INC	/Archives/edgar/data/813470/000081347006000021/0000813470-06-000021-index.htm	
