CIK	Company
0001605941	1290_Funds	
0001319067	360_Funds	
0001172221	AB_BLENDED_STYLE_SERIES_INC	
0000003794	AB_BOND_FUND,_INC.	
0000081443	AB_CAP_FUND,_INC.	
0001090504	AB_CORE_OPPORTUNITIES_FUND,_INC.	
0000019614	AB_DISCOVERY_GROWTH_FUND,_INC.	
0000910036	AB_EQUITY_INCOME_FUND_INC	
0000862021	AB_FIXED_INCOME_SHARES_INC	
0000883676	AB_GLOBAL_BOND_FUND,_INC.	
0001018368	AB_GLOBAL_REAL_ESTATE_INVESTMENT_FUND_INC	
0000069752	AB_GLOBAL_RISK_ALLOCATION_FUND,_INC.	
0000917713	AB_GOVERNMENT_EXCHANGE_RESERVES	
0000915845	AB_HIGH_INCOME_FUND_INC	
0000889508	AB_LARGE_CAP_GROWTH_FUND_INC	
0000899774	AB_MUNICIPAL_INCOME_FUND_II	
0000798737	AB_MUNICIPAL_INCOME_FUND,_INC.	
0000812015	AB_PORTFOLIOS	
0000029292	AB_RELATIVE_VALUE_FUND,_INC.	
0000350181	AB_SUSTAINABLE_GLOBAL_THEMATIC_FUND,_INC.	
0000920701	AB_SUSTAINABLE_INTERNATIONAL_THEMATIC_FUND_INC	
0001129870	AB_TRUST	
0001002718	AB_UNCONSTRAINED_BOND_FUND,_INC.	
0000825316	AB_VARIABLE_PRODUCTS_SERIES_FUND,_INC.	
0000863903	Aberdeen_Global_SELECT_OPPORTUNITIES_FUND_INC.	
0000887210	ABERDEEN_INVESTMENT_FUNDS	
0001347965	ABN_AMRO_Structured_Investment_Funds	
0001413594	abrdn_Funds	
0001301123	Access_One_Trust	
0000876603	ACCESSOR_FUNDS_INC	
0000006247	ACTIVA_MUTUAL_FUND_TRUST	
0000872687	ADJUSTABLE_RATE_SECURITIES_PORTFOLIOS	
0001516523	Advisers_Investment_Trust	
0001029068	ADVISORONE_FUNDS	
0001556505	Advisors_Preferred_Trust	
0001027596	ADVISORS_SERIES_TRUST	
0000878719	ADVISORS&#39;_INNER_CIRCLE_FUND	
0000890540	Advisors&#39;_Inner_Circle_Fund_II	
0001593547	Advisors&#39;_Inner_Circle_Fund_III	
0001251896	AEGIS_FUNDS	
0001030802	AFBA_5STAR_FUNDS	
0000932927	AG_SEPARATE_ACCOUNT_A_of_AGL	
0000016190	AGL_SEPARATE_ACCOUNT_A	
0000831957	AHA_INVESTMENT_FUNDS_INC	
0000913126	AIM_COMBINATION_STOCK_&amp;_BOND_FUNDS	
0001112996	AIM_COUNSELOR_SERIES_TRUST_(INVESCO_COUNSELOR_SERIES_TRUST)	
0000105377	AIM_EQUITY_FUNDS_(INVESCO_EQUITY_FUNDS)	
0000019034	AIM_FUNDS_GROUP_(INVESCO_FUNDS_GROUP)	
0000202032	AIM_GROWTH_SERIES_(INVESCO_GROWTH_SERIES)	
0000880859	AIM_INTERNATIONAL_MUTUAL_FUNDS_(INVESCO_INTERNATIONAL_MUTUAL_FUNDS)	
0000826644	AIM_INVESTMENT_FUNDS_(INVESCO_INVESTMENT_FUNDS)	
0000842790	AIM_INVESTMENT_SECURITIES_FUNDS_(INVESCO_INVESTMENT_SECURITIES_FUNDS)	
0000725781	AIM_SECTOR_FUNDS_(INVESCO_SECTOR_FUNDS)	
0001054647	AIM_SPECIAL_OPPORTUNITIES_FUNDS	
0000035692	AIM_STOCK_FUNDS	
0000701748	AIM_SUMMIT_FUND	
0000909466	AIM_TAX-EXEMPT_FUNDS_(INVESCO_TAX-EXEMPT_FUNDS)	
0001561722	AIP_Series_Trust	
0000003521	ALGER_FUNDS	
0000092751	ALGER_FUNDS_II	
0001219064	ALGER_GLOBAL_FOCUS_FUND	
0000911415	ALGER_INSTITUTIONAL_FUNDS	
0000847554	ALGER_SEPARATE_ACCOUNT_A_OF_VENERABLE_INSURANCE_&amp;_ANNUITY_Co	
0000930438	ALLIANCEBERNSTEIN_ALL_ASIA_INVESTMENT_FUND_INC	
0001170206	ALLIANCEBERNSTEIN_GLOBAL_GROWTH_FUND_INC	
0001085421	ALLIANCEBERNSTEIN_GLOBAL_HEALTH_CARE_FUND_INC	
0000095669	ALLIANCEBERNSTEIN_GLOBAL_SMALL_CAP_FUND_INC	
0001038457	ALLIANCEBERNSTEIN_GREATER_CHINA_97_FUND_INC	
0001029843	ALLIANCEBERNSTEIN_HIGH_YIELD_FUND_INC	
0001050658	ALLIANCEBERNSTEIN_INTERNATIONAL_RESEARCH_GROWTH_FUND_INC	
0000873067	ALLIANCEBERNSTEIN_MULTI_MARKET_STRATEGY_TRUST_INC	
0000859605	ALLIANCEBERNSTEIN_NEW_EUROPE_FUND_INC	
0001062417	ALLIANCEBERNSTEIN_SELECT_INVESTOR_SERIES_INC	
0000808468	ALLIANZ_LIFE_VARIABLE_ACCOUNT_A	
0001081400	ALLSPRING_FUNDS_TRUST	
0001210123	ALLSPRING_INCOME_OPPORTUNITIES_FUND	
0001227073	ALLSPRING_MULTI-SECTOR_INCOME_FUND	
0001279014	ALLSPRING_UTILITIES_&amp;_HIGH_INCOME_FUND	
0001422509	Allstate_Financial_Investment_Trust	
0000842436	ALPINE_EQUITY_TRUST	
0001194319	ALPINE_INCOME_TRUST	
0001142010	ALPINE_SERIES_TRUST	
0001558107	ALPS_Series_Trust	
0000004405	AMCAP_FUND	
0000004568	AMERICAN_BALANCED_FUND	
0000809593	AMERICAN_BEACON_FUNDS	
0001293210	AMERICAN_CENTURY_ASSET_ALLOCATION_PORTFOLIOS,_INC.	
0000717316	AMERICAN_CENTURY_CALIFORNIA_TAX_FREE_&amp;_MUNICIPAL_FUNDS	
0000908186	AMERICAN_CENTURY_CAPITAL_PORTFOLIOS_INC	
0000773674	AMERICAN_CENTURY_GOVERNMENT_INCOME_TRUST	
0001353176	AMERICAN_CENTURY_GROWTH_FUNDS,_INC.	
0000880268	AMERICAN_CENTURY_INTERNATIONAL_BOND_FUNDS	
0000908406	AMERICAN_CENTURY_INVESTMENT_TRUST	
0000746458	AMERICAN_CENTURY_MUNICIPAL_TRUST	
0000100334	AMERICAN_CENTURY_MUTUAL_FUNDS,_INC.	
0000827060	AMERICAN_CENTURY_QUANTITATIVE_EQUITY_FUNDS,_INC.	
0000924211	AMERICAN_CENTURY_STRATEGIC_ASSET_ALLOCATIONS_INC	
0000872825	AMERICAN_CENTURY_WORLD_MUTUAL_FUNDS_INC	
0000005007	AMERICAN_FIDELITY_SEPARATE_ACCOUNT_A	
0001547011	AMERICAN_FUNDS_COLLEGE_TARGET_DATE_SERIES	
0001553195	AMERICAN_FUNDS_CORPORATE_BOND_FUND	
0001584433	AMERICAN_FUNDS_DEVELOPING_WORLD_GROWTH_&amp;_INCOME_FUND	
0001660935	American_Funds_Emerging_Markets_Bond_Fund	
0000039473	AMERICAN_FUNDS_FUNDAMENTAL_INVESTORS	
0001505612	AMERICAN_FUNDS_GLOBAL_BALANCED_FUND	
