Sr.No,City,2010 Census,2005(Estt.),2004(Estt.),2003(Estt.),2002(Estt.),2001(Estt.),2000 Census
1,Alexandria,"5,145","5,868","5,977","6,053","6,124","6,191","6,260"
2,Anderson,"56,129","57,500","57,942","58,422","58,846","59,180","59,734"
3,Angola,"8,612","7,890","7,795","7,719","7,623","7,590","7,344"
4,Attica,"3,245","3,385","3,441","3,472","3,505","3,506","3,491"
5,Auburn,"12,731","12,687","12,661","12,488","12,337","12,194","12,074"
6,Aurora,"3,750","4,064","4,043","4,016","3,993","3,982","3,965"
7,Batesville,"6,520","6,407","6,365","6,330","6,306","6,113","6,033"
8,Bedford,"13,413","13,551","13,570","13,599","13,616","13,688","13,768"
9,Beech Grove,"14,192","14,069","14,236","14,403","14,573","14,786","14,880"
10,Berne,"3,999","4,157","4,168","4,162","4,148","4,148","4,150"
11,Bicknell,"2,915","3,284","3,292","3,291","3,309","3,329","3,378"
12,Bloomington,"80,405","69,017","68,779","69,148","69,462","70,016","69,291"
13,Bluffton,"9,897","9,460","9,457","9,499","9,538","9,522","9,536"
14,Boonville,"6,246","6,782","6,830","6,891","6,827","6,815","6,834"
15,Brazil,"7,912","8,214","8,244","8,167","8,069","8,067","8,188"
16,Butler,"2,684","2,714","2,718","2,718","2,710","2,713","2,725"
17,Cannelton,"1,563","1,168","1,171","1,177","1,188","1,199","1,209"
18,Carmel,"79,191","58,198","59,243","56,324","54,516","52,900","37,733"
19,Charlestown,"7,585","8,052","7,971","7,971","7,961","8,054","5,993"
20,Clinton,"4,893","4,906","4,911","4,942","4,983","5,041","5,126"
21,Columbia City,"8,750","8,024","7,764","7,707","7,545","7,470","7,077"
22,Columbus,"44,061","39,380","39,251","39,074","38,900","39,153","39,059"
23,Connersville,"13,481","14,368","14,445","14,539","14,694","14,849","15,411"
24,Covington,"2,645","2,465","2,500","2,520","2,537","2,541","2,565"
25,Crawfordsville,"15,915","15,155","15,088","15,082","15,170","15,084","15,243"
26,Crown Point,"27,317","22,697","21,822","21,108","20,551","20,238","19,806"
27,Decatur,"9,405","9,547","9,506","9,492","9,451","9,460","9,528"
28,Delphi,"2,893","2,980","2,983","3,035","3,022","3,038","3,015"
29,Dunkirk,"2,362","2,639","2,641","2,639","2,635","2,644","2,646"
30,East Chicago,"29,698","30,946","31,237","31,549","31,772","32,064","32,414"
31,Elkhart,"50,949","52,270","51,878","51,778","51,922","52,259","51,874"
32,Elwood,"8,614","9,167","9,263","9,377","9,504","9,594","9,737"
33,Evansville,"1,17,429","1,15,918","1,17,156","1,18,120","1,19,115","1,19,707","1,21,582"
34,Fort Wayne,"2,53,691","2,23,341","2,19,351","2,19,872","2,20,181","2,20,250","2,05,727"
35,Frankfort,"16,422","16,432","16,441","16,471","16,596","16,674","16,662"
36,Franklin,"23,712","21,747","21,201","20,969","20,562","20,214","19,463"
37,Garrett,"6,286","5,760","5,767","5,769","5,755","5,767","5,803"
38,Gary,"80,294","98,715","99,516","1,00,028","1,00,711","1,01,645","1,02,746"
